Name,Quantity,Component
"U1",1," Arduino Uno R3"
"D1",1,"Red LED"
"R1, R2, R4",3,"100 Ω Resistor"
"D2",1,"Orange LED"
"PIEZO1",1," Piezo"
"R3",1," Photoresistor"
"GAS1",1," Gas Sensor"
"R5",1,"1 kΩ Resistor"
"PIR1",1,"6.44665880623694 , -211.8735775402492 , -160.66268401798538  PIR Sensor"
